1610612737,ATL,Atlanta,1610612737,Hawks,1
1610612738,BOS,Boston,1610612738,Celtics,2,E
1610612751,BKN,Brooklyn,1610612751,Nets,3,E
1610612766,CHA,Charlotte,1610612766,Hornets,4,E
1610612741,CHI,Chicago,1610612741,Bulls,5,E
1610612739,CLE,Cleveland,1610612739,Cavaliers,6,E
1610612742,DAL,Dallas,1610612742,Mavericks,7,W
1610612743,DEN,Denver,1610612743,Nuggets,8,W
1610612765,DET,Detroit,1610612765,Pistons,9,E
1610612744,GSW,Golden State,1610612744,Warriors,10,W
1610612745,HOU,Houston,1610612745,Rockets,11,W
1610612754,IND,Indiana,1610612754,Pacers,12,E
1610612746,LAC,Los Angeles,1610612746,Clippers,13,W
1610612747,LAL,Los Angeles,1610612747,Lakers,14,W
1610612763,MEM,Memphis,1610612763,Grizzlies,15,W
1610612748,MIA,Miami,1610612748,Heat,16,E
1610612749,MIL,Milwaukee,1610612749,Bucks,17,E
1610612750,MIN,Minnesota,1610612750,Timberwolves,18,W
1610612740,NOP,New Orleans,1610612740,Pelicans,19,W
1610612752,NYK,New York,1610612752,Knicks,20,E
1610612760,OKC,Oklahoma City,1610612760,Thunder,21,W
1610612753,ORL,Orlando,1610612753,Magic,22,E
1610612755,PHI,Philadelphia,1610612755,76ers,23,E
1610612756,PHX,Phoenix,1610612756,Suns,24,W
1610612757,POR,Portland,1610612757,Trail Blazers,25,W
1610612758,SAC,Sacramento,1610612758,Kings,26,W
1610612759,SAS,San Antonio,1610612759,Spurs,27,W
1610612761,TOR,Toronto,1610612761,Raptors,28,E
1610612762,UTA,Utah,1610612762,Jazz,29,W
1610612764,WAS,Washington,1610612764,Wizards,30,E
