pdiff,is_away_b2b,is_home_b2b,win
-14.0,48.5,48.5,10
4.0,47.5,48.0,-13
-6.0,48.5,48.5,-1
-10.0,48.0,23.5,-3
-16.0,48.5,48.0,13
3.0,47.5,48.0,-9
16.0,48.5,48.0,6
6.0,48.0,48.0,13
-52.0,48.0,71.5,6
2.0,48.0,48.0,-2
-2.0,48.0,46.5,-4
3.0,47.0,24.0,-7
-18.0,47.0,47.5,17
-20.0,24.0,24.0,4
0.0,24.5,24.0,9
-4.0,48.5,72.5,31
5.0,24.5,48.0,6
-18.0,24.0,24.5,13
-1.0,24.5,24.0,-14
-16.0,24.0,23.5,2
-9.0,23.5,24.0,24
10.0,23.5,71.0,7
12.0,43.0,42.5,13
-22.0,22.5,47.0,6
-4.0,42.5,43.0,9
-12.0,46.5,46.5,16
24.0,42.0,42.0,-9
-14.0,48.0,72.0,25
-7.0,48.5,48.0,-3
4.0,48.5,48.0,13
-23.0,30.5,48.0,-12
-20.0,48.0,29.0,3
-11.0,48.0,47.5,12
15.0,47.5,48.0,2
-17.0,53.0,72.0,-9
5.0,53.0,71.5,11
-4.0,24.5,49.5,7
-3.0,49.0,71.5,-6
-25.0,49.5,53.5,3
3.0,23.5,49.0,4
-11.0,96.5,96.5,2
9.0,47.5,120.0,-2
16.0,48.0,48.0,18
-31.0,24.0,47.5,-4
-8.0,48.5,120.0,7
6.0,23.5,48.0,1
-20.0,23.5,47.5,11
14.0,48.5,48.5,13
18.0,95.5,47.5,5
2.0,24.0,78.0,2
-14.0,24.0,48.0,26
-34.0,72.5,49.0,19
-8.0,48.5,48.5,5
13.0,25.0,25.5,-7
9.0,48.0,48.0,-7
-1.0,48.0,47.5,-14
2.0,48.5,48.5,9
-27.0,48.0,48.0,10
16.0,48.0,48.5,-14
4.0,72.5,48.5,-7
0.0,48.0,48.0,-7
16.0,23.5,48.0,1
-7.0,72.0,48.0,-9
30.0,48.0,48.0,5
9.0,24.0,24.0,-1
-19.0,24.5,47.5,9
26.0,24.0,47.5,1
-4.0,24.0,48.0,32
-11.0,24.0,24.5,-2
-7.0,24.0,95.5,-11
3.0,96.0,46.5,9
11.0,23.5,72.0,8
-21.0,47.0,47.0,-7
15.0,41.5,89.0,16
9.0,23.5,47.0,10
2.0,48.5,48.0,-22
-8.0,69.5,47.0,-7
22.0,47.0,94.5,15
12.0,46.0,47.0,-12
-1.0,48.5,48.0,-3
8.0,48.5,25.5,-6
-11.0,48.0,48.5,-6
12.0,71.5,72.0,-2
-16.0,72.0,49.5,12
0.0,49.5,72.0,11
3.0,72.5,47.5,-8
-14.0,49.5,47.5,-7
1.0,49.0,72.0,12
8.0,49.0,54.5,9
0.0,54.5,71.5,22
-5.0,96.0,48.0,26
